feature,shap_importance
_id_60c5d6bf5659ea5e55defe8e,2.4934331852473276e-18
_id_60c5d6bf5659ea5e55defe54,2.4694817369209126e-18
_id_60c5d6bf5659ea5e55defe98,2.4449506600522275e-18
_id_60c5d6bf5659ea5e55defe8d,2.3750862410105983e-18
_id_60c5d6bf5659ea5e55defdc4,2.1563630160466837e-18
_id_60c5d6bf5659ea5e55defe9c,2.103102685399428e-18
_id_60c5d6bf5659ea5e55defeb8,2.0767659463429435e-18
_id_60c5d6bf5659ea5e55defe7a,2.0507379991237767e-18
_id_60c5d6bf5659ea5e55defe4b,1.948849457797544e-18
_id_60c5d6bf5659ea5e55defe44,1.9323768113124963e-18
_id_60c5d6bf5659ea5e55defe7e,1.8391167710673455e-18
_id_60c5d6bf5659ea5e55defe32,1.764202733563513e-18
_id_60c5d6bf5659ea5e55defe6a,1.7390404157262572e-18
_id_60c5d6bf5659ea5e55defeac,1.7240519661396795e-18
_id_60c5d6bf5659ea5e55defec0,1.676811050754721e-18
_id_60c5d6bf5659ea5e55defe82,1.662257645051845e-18
_id_60c5d6bf5659ea5e55defdba,1.6311993346055894e-18
_id_60c5d6bf5659ea5e55defe40,1.6179589305125148e-18
_id_60c5d6bf5659ea5e55defe92,1.5978065124102392e-18
_id_60c5d6bf5659ea5e55defe71,1.5885057498287326e-18
_id_60c5d6bf5659ea5e55defe85,1.2124296177349342e-18
_id_60c5d6bf5659ea5e55defdbd,1.2099355374809712e-18
_id_60c5d6bf5659ea5e55defe5e,1.103321075881567e-18
_id_60c5d6bf5659ea5e55defe91,1.0667949074420031e-18
_id_60c5d6bf5659ea5e55defe64,1.0442949919857366e-18
_id_60c5d6bf5659ea5e55defe2f,1.0406252479593074e-18
_id_60c5d6bf5659ea5e55defe5d,1.029082450975272e-18
_id_60c5d6bf5659ea5e55defe50,9.515645068217983e-19
_id_60c5d6bf5659ea5e55defea5,8.718238116851052e-19
_id_60c5d6bf5659ea5e55defe46,8.530495240353034e-19
