feature,shap_importance
task_2,0.8268154922606141
Unnamed: 0,0.474854355786676
text_indiacovidcrisis,0.24741739916449873
text_shame,0.24010377875552757
text_fuck,0.21800485050098387
text_shitbag,0.1355701272675227
text_bitch,0.10520035638081299
text_fucking,0.10504117059947486
text_motherfucker,0.09163755542350673
text_media,0.091294085964062
text_pussy,0.08564314273448076
text_bloody,0.08327571202620694
text_covidvaccine,0.08071598416091579
_id_60c5d6bf5659ea5e55defe51,0.07416621035784067
text_asshole,0.07385572266510883
text_resignpmmodi,0.07281156303691647
text_bjp,0.07205737763294338
text_people,0.07071275981210133
text_modi,0.06933083215475837
text_chinesevirus,0.06826657717186205
text_resignmodi,0.05979816538341964
text_dying,0.05914541311003293
text_bollocks,0.05605734852608913
_id_60c5d6bf5659ea5e55defeab,0.05594238254448758
text_dick,0.053731739625865235
text_modikavaccinejumla,0.053093789579728566
text_country,0.051744641353142634
text_government,0.04882782363547857
text_resign_pm_modi,0.047908748668833476
text_damn,0.04276866005263519
_id_60c5d6bf5659ea5e55defeb1,0.038360928326244784
text_care,0.03739219463157598
text_islamophobia,0.03706032207985387
text_https,0.03654186460430106
text_did,0.03645735959605685
text_hell,0.035785609655526955
text_need,0.03490657586037118
text_bjp4india,0.034874129230768484
text_pandemic,0.033779368027123474
text_china,0.0329733711089989
text_sad,0.031226795098068267
_id_60c5d6bf5659ea5e55defea1,0.03026431518255884
_id_60c5d6bf5659ea5e55defe62,0.029490478514663066
text_pm,0.02910014995194517
text_nation,0.029058411370594957
text_situation,0.028600349962212262
text_vaccine,0.0279580162564647
text_ðÿ,0.026939184607438486
text_failed,0.02649034016936101
text_head,0.026028642376802105
text_just,0.025886867501724316
text_going,0.025491264509902113
_id_60c5d6bf5659ea5e55defe30,0.024394080831744616
text_help,0.02406236153465855
text_make,0.024007412593895074
text_govt,0.023377029064848898
text_really,0.021989498193614315
text_world,0.02177329346952712
text_fucker,0.021662920370899435
text_like,0.021584430249739914
text_lives,0.021351168811883113
text_twat,0.021153531065876856
text_wuhanvirus,0.020393496909251612
text_pmoindia,0.019701131274971875
text_shameless,0.01947969862770151
text_modiresign,0.018196814936893402
text_want,0.01699145479813591
text_indian,0.0161643696150245
text_say,0.01570614139350684
text_covid,0.014012822831029958
text_good,0.013537462497694486
text_today,0.012963783564071215
text_bengal,0.012840752656562149
text_know,0.012702045521916396
text_got,0.012081437108514035
text_bengalburning,0.01184462673539849
text_lost,0.011750272247626915
text_piss,0.011556250854779748
text_way,0.011399598399878261
text_save,0.011253551172814324
text_news,0.011158914071966257
text_india,0.010733012949520053
text_come,0.010699039440515565
text_oxygen,0.010123905698874594
text_think,0.008992477257645246
text_thing,0.008602175554957556
text_doing,0.008544840520864561
text_man,0.008253441581326501
text_resign,0.007906523070467679
text_don,0.007610907431225832
text_shit,0.00741995517543011
text_time,0.007363410162799259
text_narendramodi,0.007241305187849515
text_day,0.006821535424977516
text_son,0.005119103069256072
text_deaths,0.004993752687988202
text_life,0.004787480595417597
text_getting,0.004403044140881889
text_let,0.004101394180342544
text_covid19,0.004053991113203662
text_stop,0.003997028353542433
text_state,0.003183727542962636
text_right,0.0031436554134086103
text_look,0.002576018742453518
text_party,0.0020853145856949717
text_ve,0.0016022237234229692
text_bengalviolence,0.0015415254360612886
text_amp,0.0004082939536500016
_id_60c5d6bf5659ea5e55defdbc,7.331100168315393e-18
_id_60c5d6bf5659ea5e55defe56,6.308978404094175e-18
_id_60c5d6bf5659ea5e55defe70,6.1364213588512555e-18
_id_60c5d6bf5659ea5e55defea4,5.7799420692399925e-18
_id_60c5d6bf5659ea5e55defdb9,5.772249577179064e-18
_id_60c5d6bf5659ea5e55defea8,5.6792034192545586e-18
_id_60c5d6bf5659ea5e55defe3d,5.591465536956062e-18
_id_60c5d6bf5659ea5e55defe4c,5.513304524273362e-18
_id_60c5d6bf5659ea5e55defe4f,5.442949826709885e-18
_id_60c5d6bf5659ea5e55defe38,5.411400825404246e-18
_id_60c5d6bf5659ea5e55defe9d,5.25600902608808e-18
_id_60c5d6bf5659ea5e55defe5a,5.163244655914698e-18
