name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6931471805599453,1.52
2_DecisionTree,Decision Tree,logloss,0.4035805247406076,8.3
3_Linear,Linear,logloss,0.47306455994837016,10.3
4_Default_Xgboost,Xgboost,logloss,0.19221935286378056,7.12
5_Default_NeuralNetwork,Neural Network,logloss,0.4507411038217734,8.2
6_Default_RandomForest,Random Forest,logloss,0.27349117586864063,11.01
Ensemble,Ensemble,logloss,0.17786836601279507,5.46
