name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6472216123362181,1.61
2_DecisionTree,Decision Tree,logloss,1.192092966562092e-07,33.52
3_Linear,Linear,logloss,0.4692790012454342,24.83
4_Default_Xgboost,Xgboost,logloss,0.001168844297188964,52.58
5_Default_NeuralNetwork,Neural Network,logloss,0.08431458190263362,18.93
6_Default_RandomForest,Random Forest,logloss,1.192092966562092e-07,44.33
Ensemble,Ensemble,logloss,1.192092966562092e-07,3.61
