name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,1.7014231653840546,3.6
2_DecisionTree,Decision Tree,logloss,0.9587132383709606,17.35
3_Linear,Linear,logloss,1.0085802071151855,3.73
4_Default_Xgboost,Xgboost,logloss,0.9359275858264908,2.95
5_Default_NeuralNetwork,Neural Network,logloss,0.947286665434973,1.93
6_Default_RandomForest,Random Forest,logloss,0.856031477579818,3.36
Ensemble,Ensemble,logloss,0.8128638761346888,0.58
